name,dl,likes
stabilityai/stablecode-completion-alpha-3b-4k,1160,280
TencentARC/PhotoMaker,58274,280
codellama/CodeLlama-70b-hf,6325,281
openchat/openchat,202,282
microsoft/DialoGPT-medium,178388,283
TheBloke/Wizard-Vicuna-13B-Uncensored-GPTQ,86279,283
deepseek-ai/deepseek-coder-33b-instruct,85000,284
defog/sqlcoder,1765,284
openbmb/MiniCPM-2B-sft-fp32,102984,284
BAAI/bge-large-en-v1.5,951502,285
meta-llama/Llama-2-13b,0,285
nomic-ai/gpt4all-j,4924,285
stanford-crfm/BioMedLM,3461,288
BioMistral/BioMistral-7B,8312,289
Anashel/rpg,0,290
facebook/nllb-200-distilled-600M,558292,291
myshell-ai/OpenVoice,0,291
NousResearch/Nous-Hermes-2-Vision-Alpha,1711,291
wavymulder/portraitplus,175975,291
playgroundai/playground-v2.5-1024px-aesthetic,41056,292
THUDM/chatglm2-6b-32k,316,292
DionTimmer/controlnet_qrcode,3221,293
swl-models/chilloutmix-ni,0,293
TheBloke/Llama-2-7B-Chat-GGUF,4347,296
stabilityai/stablecode-instruct-alpha-3b,208,297
nomic-ai/nomic-embed-text-v1,106353,298
google-bert/bert-base-multilingual-cased,3706640,300
LinkSoul/Chinese-Llama-2-7b,2993,300
stabilityai/stablelm-3b-4e1t,10370,300
AnonPerson/ChilloutMix,0,301
FacebookAI/roberta-base,9136264,301
togethercomputer/GPT-JT-6B-v1,64324,301
nerijs/pixel-art-xl,66280,302
XpucT/Deliberate,0,307
databricks/dolly-v1-6b,63,308
nick-x-hacker/bad-artist,0,309
Qwen/Qwen-72B,14081,309
SG161222/Realistic_Vision_V2.0,46410,310
naclbit/trinart_stable_diffusion_v2,3418,311
bigscience/bloom-560m,882785,313
Salesforce/xgen-7b-8k-base,3623,313
WhiteRabbitNeo/WhiteRabbitNeo-13B-v1,1566,317
bigcode/santacoder,6867,319
facebook/musicgen-large,145853,319
stabilityai/stable-diffusion-2-base,149326,319
Phind/Phind-CodeLlama-34B-v1,2427,320
cardiffnlp/twitter-roberta-base-sentiment-latest,48262331,321
nitrosocke/elden-ring-diffusion,3454,321
distilbert/distilgpt2,3931866,325
stabilityai/stable-diffusion-xl-refiner-0.9,1316,325
lmsys/fastchat-t5-3b-v1.0,445444,327
madebyollin/sdxl-vae-fp16-fix,262971,330
SG161222/Realistic_Vision_V1.4,40966,330
intfloat/e5-mistral-7b-instruct,54357,331
openai/clip-vit-base-patch32,9098702,331
facebook/blenderbot-400M-distill,46751,332
mosaicml/mpt-30b,45537,332
Qwen/Qwen-7B,74078,333
lambdalabs/sd-image-variations-diffusers,13057,334
comfyanonymous/ControlNet-v1-1_fp16_safetensors,0,336
CiaraRowles/TemporalNet,53411,337
dalle-mini/dalle-mini,170,337
Helsinki-NLP/opus-mt-zh-en,2882294,338
nitrosocke/spider-verse-diffusion,1940,342
Qwen/Qwen-14B-Chat,6021,343
TheBloke/Llama-2-13B-chat-GPTQ,164866,344
dandelin/vilt-b32-finetuned-vqa,306511,345
Salesforce/blip-image-captioning-base,574686,347
bigcode/starcoder2-15b,14318,348
darkstorm2150/Protogen_x3.4_Official_Release,1560,348
01-ai/Yi-6B,17516,349
SkunkworksAI/BakLLaVA-1,3321,349
google/gemma-2b-it,105126,350
nousr/robo-diffusion,906,350
SimianLuo/LCM_Dreamshaper_v7,87229,350
eachadea/ggml-vicuna-13b-1.1,0,352
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,7351,352
coqui/XTTS-v1,10258,355
stabilityai/stablelm-tuned-alpha-7b,2187,357
thibaud/controlnet-sd21,20315,360
Fictiverse/Stable_Diffusion_PaperCut_Model,471,361
sambanovasystems/BLOOMChat-176B-v1,958,365
Bingsu/adetailer,0,366
stabilityai/stable-diffusion-2-depth,144975,366
distilbert/distilbert-base-uncased,18471873,367
dslim/bert-base-NER,1411834,368
meta-llama/Llama-2-70b-chat,0,369
baichuan-inc/Baichuan2-13B-Chat,28658,372
abacusai/Smaug-72B-v0.1,11490,374
Kanbara/doll-likeness-series,0,375
bigcode/starcoderbase,2049,376
latent-consistency/lcm-lora-sdv1-5,455098,378
nitrosocke/Nitro-Diffusion,991,378
jonatasgrosman/wav2vec2-large-xlsr-53-english,62467540,379
pyannote/segmentation,4578833,381
EleutherAI/gpt-neo-2.7B,185220,382
Vision-CAIR/MiniGPT-4,0,382
22h/vintedois-diffusion-v0-1,804,383
Nexusflow/NexusRaven-V2-13B,65611,383
bigscience/T0pp,5091,384
stabilityai/stable-diffusion-2-inpainting,153218,389
TheBloke/Mixtral-8x7B-v0.1-GGUF,299,389
Onodofthenorth/SD_PixelArt_SpriteSheet_Generator,3009,392
stabilityai/stable-video-diffusion-img2vid-xt-1-1,12307,392
cognitivecomputations/WizardLM-7B-Uncensored,2798,393
uwg/upscaler,0,393
2vXpSwA7/iroiro-lora,0,396
liuhaotian/llava-v1.5-13b,137095,397
nitrosocke/Future-Diffusion,487,399
THUDM/chatglm-6b-int4,1943,401
dcy/AsiaFacemix,0,402
eimiss/EimisAnimeDiffusion_1.0v,2769,402
google/flan-t5-xl,517735,402
nitrosocke/classic-anim-diffusion,1947,405
lmsys/vicuna-13b-delta-v1.1,1464,409
google-t5/t5-base,2711607,411
amazon/MistralLite,14408,413
distilbert/distilbert-base-uncased-finetuned-sst-2-english,13498471,413
